Target,MSE,R2,Hit Ratio
R1M,0.0005347762751524811,0.10454932057464572,0.6029925187032419
R3M,0.00380545339018619,0.07972751096426256,0.6912718204488778
R6M,0.01040620537026278,0.09615341306410319,0.5296758104738155
R12M,0.01218345989663328,0.04184846301373235,0.7660847880299252
