Target,MSE,R2,Hit Ratio
R1M,0.0014026069627211318,0.09086492141429314,0.5959790144740595
R3M,0.00473968290049416,0.13458823933328223,0.6968633336227318
R6M,0.004039981165554345,0.4123919708232531,0.785530901559031
R12M,0.00509058634130977,0.5251474950696342,0.8092574447765637
